ID,English,Hebrew,Arabic
1170,"desire (v)","לחשוק","يرغب"
1171,"desk","שולחן כתיבה","مكتب"
1172,"desk (n)","שולחן כתיבה, לדלפק","مكتبة, منضدة"
1173,"despite","למרות","بالرغم من"
1174,"dessert","קינוח","حلوى"
1175,"destroy","להרוס, להשמיד","يدمر"
1176,"destruction","הרס","دمار, تدمير"
1177,"detail","פרט","تفصيل"
1178,"detective","בלש","محقق, مخبر"
1179,"determined","נחוש","مُصمّم"
1180,"Detroit","דטרויט","ديترويت"
1181,"develop","לפתח","يطور"
1182,"development","התפתחות, פיתוח","تطور, تنمية"
1183,"devote","להקדיש","يكرس"
1184,"diagram (n)","תרשים","رسم بياني"
1185,"dialogue (n)","דו שיח, דיאלוג","حوار"
1186,"diary (n)","יומן","مذكرة"
1187,"diary entry (n)","רשומת ביומן","مذكرة (يوميات)"
1188,"dictionary (n)","מילון","قاموس"
1189,"did","פועל עזר בעבר","فعل مساعد بصيغة الماضي"
1190,"did (past tense of do)","עשה","فعل"
1191,"Did you know?","האם ידעתם?","هل عرفت؟"
1192,"die (v)","למות","يموت"
1193,"died","מת","مات"
1194,"diet (n)","דיאטה","حمية"
1195,"differ","להיות שונה","يختلف"
1196,"differ (from)","להיות שונה (מ-)","يختلف (عن)"
1197,"difference","הבדל","إختلاف"
1198,"difference (n)","הבדל","إختلاف"
1199,"different","שונה","مختلف"
1200,"different (adj)","שונה","مختلف"
1201,"different lifestyles","אורחות חיים שונות","أنماط حياة مختلفة"
1202,"differently","באופן שונה","بشكل مختلف"
1203,"difficult","קשה","صعب"
1204,"difficult (adj)","קשה","صعب"
1205,"difficulty","קושי","صعوبة"
1206,"dig (v)","לחפור","يحفر"
1207,"digital (adj)","דיגיטלי","رقمي"
1208,"Dimona","דימונה","ديمونا"
1209,"dingo","דינגו (כלב בר אוסטרלי)","دينغو (كلب بري أسترالي)"
1210,"dining hall","חדר אוכל","قاعة الأكل"
1211,"dining room","חדר אוכל","غرفة الأكل"
1212,"dinner (n)","ארוחת ערב","وجبة العشاء"
1213,"dinner table","שולחן אוכל","طاولة عشاء"
1214,"dip","לטבול","يغمس"
1215,"diploma","תעודה, דיפלומה","شهادة"
1216,"direct (v)","לכוון","يوجه, يُخرج"
1217,"direction","כיוון","إتجاه"
1218,"direction (n)","כיוון","إتجاه"
1219,"directions","הוראות הגעה","تعليمات الوصول"
1220,"director","במאי","مخرج"
1221,"dirt","לכלוך","وسخ, أوساخ"
1222,"dirtier (adj) (dirty)","יותר מלוכלך","أكثر قذارة"
1223,"dirty","מלוכלך","وسخ, قذر"
1224,"dirty (adj)","מלוכלך","قذر, وسخ"
1225,"disabled","נכה","معاق"
1226,"disadvantage","חיסרון","عيب, نقيصة"
1227,"disagree","לא להסכים, לא להסכים","يختلف"
1228,"disagree (v)","לא להסכים","يختلف, يعارض"
1229,"disallow (v)","לאסור, לדחות","يمنع, يرفض"
1230,"disappear","להיעלם","يختفي"
1231,"disappear (v)","להיעלם","يختفي"
1232,"disappearance","היעלמות","إختفاء"
1233,"disappoint","לאכזב","يخيّب الأمل"
1234,"disappointed","מאוכזב","خائب الأمل"
1235,"disappointment","אכזבה","خيبة أمل"
1236,"disco","דיסקו","ديسكو"
1237,"disconnect","לנתק","يقطع, يفصل"
1238,"disconnect (v)","לנתק","يقطع الإتصال"
1239,"discontinue (v)","להפסיק, להפריד","يقطع, يفرق, يتوقف"
1240,"discount","הנחה","خصم, تخفيض"
1241,"discover","לגלות","يكتشف"
1242,"discover (v)","לגלות","يكتشف"
1243,"discovery (n)","גילוי, תגלית","إكتشاف"
1244,"discuss (v)","לדון","يناقش"
1245,"discussion","דיון","نقاش, مناقشة"
1246,"disease","מחלה","مرض"
1247,"disgusting","מגעיל","مقزز"
1248,"dish","צלחת, מנה","صحن, طبق"
1249,"dislike (v)","לא לאהוב","يكره"
1250,"disobedient","לא ציית","غير مطيع"
1251,"disorganized","לא מאורגן","غير منظم"
1252,"disrespect (v)","לזלזל","يحتقر, يستخف"
1253,"dissolve","להתמוסס","يذوب"
1254,"distance","מרחק","مسافة"
1255,"distance (n)","מרחק","مسافة"
1256,"district","מחוז","منطقة"
1257,"distrust (v)","לא לסמוך, להטיל","لا يثق, يشك"
1258,"dive (v)","לצלול","يغطس"
1259,"diving (n)","צלילה","غطس"
1260,"do","לעשות, פועל עזר בהווה","يفعل, فعل مساعد بالحاضر"
1261,"do (one's) best","לעשות כמיטב יכולתו","يبذل قصارى جهده"
1262,"do (your) best","לעשות כמיטב יכולתו","يبذل قصارى جهده"
1263,"do homework","לעשות שיעורי בית","يحضر الوظائف المدرسية"
1264,"do the dishes","לשטוף כלים","يغسل (يجلي) الأواني"
1265,"do things","לעשות דברים","يفعل أشياء"
1266,"do well","להצליח","يبلي بلاءً حسناً"
1267,"Do you have a ...?","האם יש לך ...?","هل لديك ...؟"
1268,"Do you know?","האם אתם יודעים?","هل تعرفون؟"
1269,"do your best","לעשות כמיטב יכולתך","إفعل ما بوسعك"
1270,"doctor (n)","רופא","طبيب"
1271,"does","פועל עזר בהווה","فعل مساعد بالحاضر"
1272,"dog (n)","כלב","كلب"
1273,"doll","בובה","دمية"
1274,"dollar (n)","דולר","دولار"
1275,"dolphin (n)","דולפין","دلفين"
1276,"Dolphin Reef","ריף הדולפינים","شعاب الدلافين"
1277,"dolphins","דולפינים","دلافين"
1278,"don't miss","אל תפספסו","لا تفوتوا"
1279,"Don't worry.","אל תדאג.","لا تقلق."
1280,"donkey","חמור","حمار"
1281,"door (n)","דלת","باب"
1282,"door-to-door","מדלת לדלת","من باب إلى باب"
1283,"double agent","סוכן כפול","عميل مزدوج"
1284,"double-check","לבדוק שוב, פעמיים","يتأكّد مجدّداً"
1285,"double-cross","לבגוד, בגידה","يخون، خيانة"
1286,"doubt (n)","ספק","شك"
1287,"down","למטה","تحت, أسفل إلى أسفل"
1288,"download","להוריד (מהאינטרנט)","يحمّل (من الإنترنت)"
1289,"downstairs","למטה","في الطابق السفلي"
1290,"downtown","מרכז העיר","مركز المدينة"
1292,"drama (n)","דרמה","مسرحية, موقف مثير"
1293,"dramatic","דרמטי","درامي"
1294,"drank (past tense of drink)","שתה","شرب"
1295,"draw (v)","לצייר","يرسم"
1296,"drawer","מגירה","درج"
1297,"drawing","ציור","رسم"
1298,"drawing (n)","ציור","رسم"
1299,"dream","חלום","حلم"
1300,"dream (n)","חלום","حلم"
1301,"dream (v)","לחלום","يحلم"
1302,"dreaming","חולם","يحلم"
1303,"dreams","חלומות","أحلام"
1304,"dreams for the future","חלומות לעתיד","أحلام مستقبلية"
1305,"dress (v)","להתלבש","يرتدي"
1306,"dressed (adj)","לבוש","يرتدي ملابس"
1307,"dresses","שמלות","فساتين"
1308,"drink (v)","לשתות","يشرب"
1309,"drinking water","מי שתייה","مياه الشرب"
1310,"drip","לטפטף","ينقط, يسيل"
1311,"drive (v)","לנהוג","يسوق, يقود"
1312,"driver","נהג","سائق"
1313,"drop (v)","להפיל, להוריד","يسقط"
1314,"drop me a line","לכתוב בקצרה","أكتب لي عدة كلمات"
1315,"drop out","לנשור, לפרוש","ينسحب (من المدرسة)، يترك"
1316,"drove (past tense of drive)","נהג","ساق"
1317,"drugs","סמים","مخدرات"
1318,"drum","תוף","طبلة"
1319,"drums","תופים","طبول"
1320,"Druze","דרוזי","درزي"
1321,"dry (adj)","יבש","جاف, ناشف"
1322,"duck (n)","ברווז","بطة"
1323,"due","בגלל, מתוכנן","بسبب, مستحق"
1324,"due to","בגלל","بسبب"
1325,"during","במשך","خلال, طوال"
1326,"dust (n)","אבק","غبار"
1327,"duty","חובה, תפקיד","واجب, مهمة"
1328,"DVD (n)","די.וי.די","دي في دي"
1329,"dying","גוסס","يموت"
1330,"e-mail","דואר אלקטרוני","بريد إلكتروني"
1333,"e-pal","חבר באינטרנט","صديق المراسلة بالإنترنت"
1334,"e-pal (n)","חבר בתכתובת באינטרנט","صديق المراسلة بالإنترنت"
1335,"e.g.","למשל","مثلاً"
1336,"each","כל אחד","كل واحد"
1337,"each other","זה את זה","يعضهم البعض"
1338,"eagerly (adv)","בהתלהבות","بشوق"
1339,"ear","אוזן","أذن"
1340,"earlier (adj) (early)","מוקדם יותר","أبكر"
1341,"early (adj)","מוקדם","مبكر"
1342,"earn","להרוויח, לזכות","يكسب"
1343,"earphones (n)","אוזניות","سماعات"
1344,"earring","עגיל","حلق, قرط"
1345,"ears","אוזניים","آذان"
1346,"Earth","כדור הארץ","الكرة الأرضية"
1347,"earthquake (n)","רעידת אדמה","زلزال"
1348,"ease (n)","קלות, נוחות","راحة, سهولة"
1349,"ease (v)","להקל","يسهل, يخفف"
1350,"easier (adj) (easy)","יותר קל","الأسهل"
1351,"easiest (adj) (easy)","הכי קל","الأسهل"
1352,"easily (adv)","בקלות","بسهولة"
1353,"east","מזרח","شرق"
1354,"eastern","מזרחי","شرقي"
1355,"easy (adj)","קל","سهل"
1356,"eat (v)","לאכול","يأكل"
1357,"eating","אוכל (פועל)","يأكل"
1358,"eating habits","הרגלי אכילה","عادات الطعام"
1359,"eats","אוכל","يأكل"
1360,"ecology","אקולוגיה","علم البيئة"
1361,"edge","קצה, שפה","حافة"
1362,"Edinburgh","אדינבורו","أدنبرة"
1363,"education","חינוך, השכלה","تعليم, تربية"
1364,"effect","השפעה","تأثير"
1365,"effect (n)","השפעה","تأثير"
1366,"effort (n)","מאמץ","جهد"
1367,"egg (n)","ביצה","بيضة"
1368,"eggplant","חציל","باذنجان"
1369,"eggs","ביצים","بيضات"
1370,"Eiffel Tower","מגדל אייפל","برج إيفل"
1371,"eight","שמונה","ثمانية"
1372,"Eilat","אילת","إيلات"
1373,"either","גם, כל אחד משני","أيضاً, أحد"
1374,"election","בחירות","إنتخابات"
1375,"electric scooter","קורקינט חשמלי","سكوتر كهربائي"
1376,"electrical","חשמלי","كهربائي"
1377,"electrical appliance","מכשיר חשמלי","جهاز كهربائي"
1378,"electricity","חשמל","كهرباء"
1379,"electricity (n)","חשמל","كهرباء"
1380,"electronic (adj)","אלקטרוני","إلكتروني"
1381,"elegant","אלגנטי","أنيق"
1382,"elegant-looking","נראה אלגנטי","ذو مظهر أنيق"
1383,"elementary school","בית ספר יסודי","مدرسة ابتدائية"
1384,"elephant (n)","פיל","فيل"
1385,"elevator","מעלית","مصعد"
1386,"else","אחר","آخر"
1387,"email","דואר אלקטרוני","بريد إلكتروني"
1388,"email address","כתובת דואר אלקטרוני","عنوان البريد الإلكتروني"
1389,"embarrassed","נבוך","محرَج"
1390,"embarrassing","מביך","محرج"
1391,"embarrassment","מבוכה","إحراج"
1392,"emergency","חירום","حالة طوارئ"
1393,"emotional","רגשי","عاطفي"
1394,"employ","להעסיק","يوظف"
1395,"employ (v)","להעסיק","يوظف"
1396,"employee","עובד","موظف"
1397,"employer","מעסיק","صاحب عمل"
1398,"empty (adj)","ריק","فارغ"
1399,"encourage","לעודד","يشجع"
1400,"encouragement","עידוד","تشجيع"
1401,"end (n)","סוף","نهاية"
1402,"end (v)","לסיים, להסתיים","ينهي, ينتهي"
1403,"end of the year","סוף השנה","نهاية السنة"
1404,"end up","להגיע ל-, לסיים ב-","ينتهي إلى"
1405,"ending","סיום","نهاية"
1406,"ends","מסתיים","ينتهي"
1407,"enemy","אויב","عدو"
1408,"enemy (n)","אויב","عدو"
1409,"energetic (adj)","אנרגטי, מלא אנרגיה","نشيط"
1410,"energy","אנרגיה","طاقة"
1411,"energy (n)","אנרגיה","طاقة"
1412,"engine","מנוע","محرّك"
1413,"engineer","מהנדס","مهندس"
1414,"England","אנגליה","إنجلترا"
1415,"English (n)","השפה האנגלית","اللغة الإنجليزية"
1416,"enjoy (v)","להנות","يستمتع"
1417,"Enjoy your meal!","בתיאבון!","بالعافية!"
1418,"enjoy yourself","להנות","إستمتع بنفسك"
1419,"enjoyable (adj)","מהנה","ممتع"
1420,"enjoyment (n)","הנאה","متعة"
1421,"enormous","עצום","ضخم"
1422,"enough","מספיק","كافٍ"
1423,"enter","להיכנס","يدخل"
1424,"entertainment","בידור","ترفيه"
1425,"entertainment (n)","בידור","ترفيه"
1426,"entire","כולו, שלם","بأكمله, كامل"
1427,"entirely","לחלוטין","بالكامل, تماماً"
1428,"entrance","כניסה","مدخل"
1429,"entry (n)","ערך","مدخل"
1430,"envelope","מעטפה","مغلف, ظرف"
1431,"environment","סביבה","بيئة"
1432,"environment (n)","סביבה","بيئة"
1433,"environmental","סביבתי","بيئي"
1434,"environmentally friendly","ידידותי לסביבה","صديق للبيئة"
1435,"equal","שווה","متساوٍ"
1436,"equality","שוויון","مساواة"
1437,"equipment","ציוד","معدات"
1438,"equipment (n)","ציוד","معدات"
1439,"eraser","מחק","ممحاة"
1440,"error","שגיאה, טעות","خطأ"
1441,"escape (n, v)","בריחה, לברוח","هروب, يهرب"
1442,"especially","במיוחד","خاصة"
1443,"essential","חיוני, חשוב","ضروري, أساسي, جوهري"
1444,"establish","לייסד, להקים","يؤسس, ينشئ"
1445,"etc.","וכו'","إلخ"
1446,"etc. (etcetera)","וכו'","إلخ"
1447,"Ethiopia","אתיופיה","إثيوبيا"
1448,"Ethiopian","אתיופי","إثيوبي"
1449,"eucalyptus","אקליפטוס","أوكاليبتوس"
1450,"euro","אירו","يورو"
1451,"Europe","אירופה","أوروبا"
1452,"European Cup","הגביע האירופי","كأس أوروبا"
1453,"even","אפילו","حتى"
1454,"even though","למרות ש-","على الرغم من"
1455,"evening (n)","ערב","مساء"
1456,"event (n)","אירוע, מאורע","حدث"
1457,"eventually","בסופו של דבר","في النهاية"
1458,"ever","אי פעם, תמיד","في أي وقت, دائماً"
1459,"ever since","מאז ש-","منذ ذلك الحين"
1460,"Everest (Mount)","הר האוורסט","جبل إفرست"
1461,"every","כל","كل"
1462,"every bit","כל פיסה","كل قطعة"
1463,"every night","כל לילה","كل ليلة"
1464,"every single","כל אחד","كل واحد"
1465,"every year","כל שנה","كل سنة"
1466,"everybody (n)","כולם","الجميع"
1467,"everyday","יומיומי","يومي"
1468,"everyone","כולם","الجميع"
1469,"everyone else","כל השאר","الجميع، كل الآخرين"
1470,"everything (n)","הכול","كل شيء"
1471,"everywhere","בכל מקום","في كل مكان"
1472,"evidence","עדות, ראיות","دليل, شهادة"
1473,"evil (adj)","רשע","شرير"
1474,"exact","מדויק","دقيق"
1475,"exactly","בדיוק","بالضبط"
1476,"exam","מבחן","امتحان"
1477,"examine","לבדוק, לבחון","يفحص"
1478,"examine (v)","לבחון, לבדוק","يفحص, يختبر"
1479,"example (n)","דוגמה","مثال"
1480,"examples","דוגמאות","أمثلة"
1481,"excellent","מצוין","ممتاز"
1482,"except","חוץ מ-, למעט","ما عدا"
1483,"exchange (n)","חילופים, המרה","تبادل"
1484,"excite","להלהיב","يثير"
1485,"excited (adj)","נרגש, מתרגש","متحمس"
1486,"excitedly (adv)","בהתרגשות","بإنفعال"
1487,"excitement","התרגשות","إثارة"
1488,"excitement (n)","התרגשות","إثارة"
1489,"exciting","מרגש","مثير"
1490,"exciting (adj)","מרגש","مثير"
1491,"excuse me","סליחה","إسمح لي"
1492,"Excuse me.","סליחה.","عفواً"
1493,"exercise (n)","תרגיל","رياضة بدنية, تمرين"
1494,"exercise (v)","להתאמן, לתרגל","يمارس"
1495,"exercises","תרגילים","تمارين"
1496,"exhausted","תשוש","منهك, مرهق"
1497,"exhausting","מתיש","مُرهِق"
1498,"exhibit (n)","מוצג","معروضة"
1499,"exist","להתקיים","يوجد"
1500,"exotic (adj)","אקזוטי","غريب"
1501,"expand","להרחיב","يتوسع"
1502,"expect","לצפות","يتوقع"
1503,"expect (v)","לצפות","يتوقع"
1504,"expedition","משלחת, מסע","بعثة, حملة إكتشاف"
1505,"expense","הוצאה","مصروف"
1506,"experience (n)","ניסיון, חוויה","خبرة, تجربة"
1507,"experience (v)","לחוות","يعاني, يختبر"
1508,"experienced","מנוסה","ذو خبرة"
1509,"expert","מומחה","خبير"
1510,"expert (n)","מומחה","خبير"
1511,"explain","להסביר","يشرح"
1512,"explain (v)","להסביר","يشرح"
1513,"explanation","הסבר","تفسير"
1514,"explore","לחקור","يستكشف"
1515,"explore (v)","לחקור","يستكشف"
1516,"expose","לחשוף","يكشف"
1517,"express","להביע, לבטא","يعبر"
1518,"express (v)","להביע","يعبر"
1519,"expression","ביטוי","تعبير"
1520,"expression (n)","ביטוי","عبارة"
1521,"expressions","ביטויים","تعبيرات"
1522,"extinct (adj)","נכחד","في حالة الإنقراض"
1523,"extinction","הכחדה","إنقراض"
1524,"extra","נוסף","إضافي"
1525,"extra large","אקסטרה לארג'","عريض جداً, كبير جداً (حجم)"
1526,"extraordinary","יוצא מן הכלל","إستثنائي, غير عادي"
1527,"extremely","מאוד, ביותר","للغاية"
1528,"eye","עין","عين"
1529,"eyes (n)","עיניים","عيون"
1530,"fable","משל","حكاية, خرافة"
1531,"face (n)","פנים","وجه"
1532,"face (v)","לעמוד מול","يواجه"
1533,"face to face","פנים אל פנים","وجهاً لوجه"
1534,"fact (n)","עובדה","حقيقة"
1535,"fact file","כרטיס מידע","بطاقة معلومات"
1536,"factor","גורם","عامل"
1537,"factory","מפעל","مصنع"
1538,"facts","עובדות","حقائق"
1539,"fail","להיכשל","يفشل"
1540,"failure","כישלון","فشل"
1541,"fair","הוגן","عادل, منصف"
1542,"fair (adj)","הוגן, יפה, בהיר","عادل, منصف"
1543,"faith","אמונה","إيمان"
1544,"faithfully","בנאמנות","بإخلاص"
1545,"fake","מזויף","مزيف"
1546,"falafel","פלאפל","فلافل"
1547,"fall (n)","נפילה","خريف"
1548,"fall (v)","ליפול","يسقط"
1549,"fall asleep","להירדם","ينام, يغفو"
1550,"fall in love","להתאהב","يقع في الحب"
1551,"fall in love with","להתאהב ב-","يقع في الحبّ مع"
1552,"falls","נפילות, מפלים","شلالات"
1553,"false (adj)","שקרי","غير صحيح"
1554,"fame","תהילה","شهرة"
1555,"familiar","מוכר","مألوف"
1556,"families","משפחות","عائلات"
1557,"family (n)","משפחה","عائلة"
1558,"family name","שם משפחה","إسم العائلة"
1559,"family size","גודל משפחה","حجم العائلة"
1560,"famous (adj)","מפורסם","مشهور"
1561,"fan (n)","מעריץ, מאוורר","معجب"
1562,"fans","מעריצים","معجبون"
1563,"fantastic (adj)","פנטסטי, נפלא","رائع, عجيب"
1564,"far (adj)","רחוק","بعيد"
1565,"far away","רחוק מכאן","بعيد جداً عن"
1566,"far from","רחוק מ-","بعيد عن"
1567,"farm (n)","חווה","مزرعة"
1568,"farmer (n)","חקלאי, אכר","مزارع"
1569,"farming","חקלאות","زراعة"
1570,"farther away","רחוק יותר","أبعد"
1571,"fascinating","מרתק","ساحر, رائع"
1572,"fashion","אופנה","موضة"
1573,"fashion show","תצוגת אופנה","عرض أزياء"
1574,"fast (adj)","מהיר","سريع"
1575,"fast (adv)","מהר, במהירות","بسرعة"
1576,"fast food","מזון מהיר","وجبات سريعة"
1577,"faster (fast)","מהיר יותר","أسرع"
1578,"fastest (adj) (fast)","הכי מהיר","الأسرع"
1579,"fat (adj)","שמן","سمين"
1580,"father (n)","אב","أب"
1581,"fatter (adj) (fat)","שמן יותר","أسمن"
1582,"fault","אשמה","خطأ"
1583,"favorite (adj)","אהוב, מועדף","مفضل, المحبب"
1584,"fear (n, v)","פחד, לפחד","خوف, يخاف"
1585,"feather","נוצה","ريشة"
1586,"feature (n)","תכונה, מאפיין","ميزة, خاصية"
1587,"February","פברואר","شباط, فبراير"
1588,"fed (past tense of feed)","האכיל","أطعم"
1589,"fee","תשלום, עמלה","رسوم"
1590,"feed (v)","להאכיל","يطعم"
1591,"feel (v)","להרגיש, לחוש","يشعر"
1592,"feel great","להרגיש מצוין","يشعر بشعور جيداً, هائل"
1593,"feel like","להרגיש כמו","يشعر بأنّ"
1594,"feeling (n)","רגש, הרגשה","إحساس, شعور, عاطفة"
1595,"feelings","רגשות","مشاعر"
1596,"feet (n)","רגליים","أقدام"
1597,"fell (past tense of fall)","נפל","سقط"
1598,"felt (past tense of feel)","הרגיש, חש","شعر"
1599,"fence","גדר","سياج"
1600,"festival (n)","פסטיבל","مهرجان"
1601,"few","מעט","قليل"
1602,"fewer","פחות","أقل"
1603,"fiction","בדיון, סיפורי בדיון","خيال"
1604,"field","שדה","حقل, ميدان"
1605,"field (n)","שדה, מגרש","حقل, ميدان"
1606,"field trip","טיול שדה","رحلة ميدانية"
1607,"fifty-two","חמישים ושניים","إثنان وخمسون"
1608,"fight (n)","קרב, מאבק","قتال, كفاح"
1609,"fight (n, v)","קרב, להילחם","قتال, يقاتل, يتشاجر"
1610,"fight (v)","להילחם, לריב","يكافح, يتشاجر"
1611,"fighting (n)","מאבק","قتال"
1612,"figure","נתון, ספרה","رقم"
1613,"figure out","להבין, לפתור","يفهم, يستنتج"
1614,"file","קובץ","ملف"
1615,"file (n)","קובץ","ملف"
1616,"fill","למלא","يملأ"
1617,"fill (v)","למלא, להשלים","يملأ"
1618,"fill in a form","למלא טופס","يملأ إستمارة"
1619,"filled in","מילא","ملأ"
1620,"final","גמר, סופי","نهائي"
1621,"final (n)","גמר","نهائي"
1622,"finally","בסופו, סוף סוף","أخيراً"
1623,"financial","כלכלי","مالي"
1624,"find (v)","למצוא, מלווה","يكتشف, يتعلم على"
1625,"find out","לגלות","يكتشف"
1626,"find out (v)","לגלות","يكتشف"
1627,"find time","למצוא זמן","يجد وقتاً"
1628,"fine","טוב, סבר","حسن, جيد"
1629,"finger (n)","אצבע","أصبع"
1630,"finish (v)","לסיים, להתסיים","ينهي"
1631,"finishing time","זמן סיום","وقت الانتهاء"
1632,"fire (n)","אש, שריפה, מדורה","حريق, نار"
1633,"fire station","תחנת כיבוי אש","مركز الإطفاء"
1634,"firefighter (n)","כבאי","إطفائي"
1635,"firefighting","של כיבוי אש","إطفاء الحرائق"
1636,"fireman","כבאי","رجل إطفاء"
1637,"fireworks","זיקוקים","ألعاب نارية"
1638,"first","ראשון, קודם","الأول"
1639,"first aid","עזרה ראשונה","الإسعافات الأولية"
1640,"first aid (n)","עזרה ראשונה","الإسعافات الأولية"
1641,"first name","שם פרטי","الاسم الأول"
1642,"fish (n)","דג","سمكة"
1643,"fish (v)","לדוג","يصطاد السمك"
1644,"fish and chips","דגים וצ'יפס","سمك وشيبس"
1645,"fish balls","קציצות דגים","كرات السمك"
1646,"fish store","חנות דגים","محل سمك"
1647,"fishing","דיג","صيد الأسماك"
1648,"fishing (n)","דיג","صيد الأسماك"
1649,"fishing rod","חכה","صنارة"
1650,"fit (adj)","כשיר","لائق"
1651,"fit (v)","להתאים","يتناسب"
1652,"fitness","כושר","لياقة بدنية"
1653,"fitter","כשיר יותר","في حالة بدنية أكثر لياقة"
1654,"five","חמש","خمسة"
1655,"fix","לתקן","يصلح"
1656,"fix (v)","לתקן","يصلح"
1657,"flag","דגל","علم"
1658,"Flamenco","פלמנקו (ריקוד)","فلامنكو (رقص)"
1659,"flash","הבזק","ومضة"
1660,"flat (adj)","שטוח","مسطح"
1661,"flea market","שוק פשפשים","سوق البراغيت"
1662,"flew (past tense of fly)","nan","nan"
1663,"flexible","גמיש","مرن"
1664,"flight (n)","טיסה","رحلة طيران"
1665,"float","לצוף","يطفو"
1666,"float (adj)","לצוף","يطفو"
1667,"floor (n)","רצפה, קומה","أرضية"
1668,"flour","קמח","طحين"
1669,"flower (n)","פרח","زهرة"
1670,"flowers","פרחים","أزهار"
1671,"flute","חליל","ناي, فلوت"
1672,"fly","לטוס, זבוב","يطير, ذبابة"
1673,"fly (v)","לטוס","يطير"
1674,"flyer","עלון","منشور, حكاية قصيرة"
1675,"flying","טיסה, עף","طيران"
1676,"flying back","טס חזרה","يطير عائداً"
1677,"flying penguins","פינגווינים מעופפים","بطاريق طائرة"
1678,"focus on","להתמקד ב-, להתרכז ב-","يركز على"
1679,"fog","ערפל","ضباب"
1680,"folk (adj)","עממי","شعبي"
1681,"folk tale","אגדה, סיפור עממי","حكاية شعبية"
1682,"follow","לעקוב","يتبع"
1683,"follow (v)","לעקוב אחרי","يتابع"
1684,"follow a pattern","לעקוב אחר דפוס, לפי דפוס קבוע","يتبع نمطاً"
1685,"follow the crowd","ללכת אחרי הקהל","يسير مع التيّار"
1686,"followed","עקב","تبع"
1687,"follower","עוקב","متابع"
1688,"following","הבא, שלאחר","التالي"
1689,"food (n)","אוכל, מזון, מאכל","طعام, غذاء, أكل"
1690,"food chain","שרשרת מזון","سلسلة غذائية"
1691,"fool","טיפש","أحمق"
1692,"fool (v)","להערים, לרמות","يخدع"
1693,"foot (n)","כף רגל","قدم"
1694,"football (n)","כדורגל","كرة القدم"
1695,"football player","שחקן כדורגל","لاعب كرة القدم"
1696,"for","בשביל, לטובת, למשך","لأجل, من أجل"
1697,"for a while","לזמן מה","لفترة من الزمن"
1698,"for example","לדוגמה","مثلاً"
1699,"for free","בחינם","مجاناً"
1700,"for instance","למשל","على سبيل المثال"
1701,"for once","לפחות פעם אחת","لمرة واحدة على الأقل"
1702,"for sale","למכירה","للبيع"
1703,"force (n)","כוח","قوة"
1704,"force (v)","לכפות, לאלץ","يجبر, يرغم"
1705,"foreign","זר, חוצי לארץ","أجنبي, خارج البلاد"
1706,"forest","יער","غابة"
1707,"forest (n)","יער","غابة"
1708,"forever","לנצח","إلى الأبد"
1709,"forget (v)","לשכוח","ينسى"
1710,"forgot (past tense of forget)","שכח","نسي"
1711,"fork","מזלג","شوكة"
1712,"form (n)","טופס","نموذج"
1713,"form (n, v)","צורה, לעצב, ליצור","شكل, يشكّل, يكوّن"
1714,"format","פורמט, תבנית","تنسيق, شكل"
1715,"fortunately","למזלנו","لحسن الحظ"
1716,"fortune","מזל","ثروة, حظ"
1717,"fortune cookie","עוגיית מזל","كعك الحظ"
1718,"forty-five","ארבעים וחמש","خمسة وأربعون"
1719,"forum (n)","פורום","منتدى"
1720,"forward","קדימה","للأمام"
1721,"fought (past tense of fight)","נלחם","حارب"
1722,"found (past tense of find)","מצא","وجد"
1723,"four","ארבע","أربعة"
1724,"fox (n)","שועל","ثعلب"
1725,"framework","מסגרת","إطار"
1726,"France","צרפת","فرنسا"
1727,"free","חינם, חופשי","مجاني, حر"
1728,"free (adj)","חופשי, חינם, פנוי","حر, مجاني, غير مشغول"
1729,"freedom","חירות","حرية"
1730,"freezer","מקפיא","مجمّد, فريزر"
1731,"freezing","קפוא","شديد البرودة"
1732,"French","צרפתי","فرنسي"
1733,"French (language)","צרפתית, השפה הצרפתית","الفرنسية, اللغة الفرنسية"
1734,"French fries","צ'יפס","بطاطا مقلية"
1735,"frenemy","חבר שמתנהג כמו אויב","صديق عدو (يتظاهر بصداقتك)"
1736,"frequently (adv)","בתדירות","كثيراً ما"
1737,"fresh (adj)","טרי","طازج"
1738,"fresh air","אוויר צח","هواء نقي"
1739,"Friday","יום שישי","يوم الجمعة"
1740,"fried (adj)","מטוגן","مقلي"
1741,"friend (n)","חבר","صديق"
1742,"friendly","ידידותי","ودود"
1743,"friendly (adv)","ידידותי","ودي"
1744,"friendship","חברות, ידידות","صداقة"
1745,"frighten (v)","להבהיל","يخيف"
1746,"frightened (adj)","מפוחד","خائف"
1747,"frightening","מפחיד","مخيف"
1748,"frog","צפרדע","ضفدع"
1749,"from","מ-","من"
1750,"front","חזית, קדמה","أمام"
1751,"fruit (n)","פרי","فاكهة, ثمرة"
1752,"fruit and vegetable market","שוק פירות וירקות","سوق الخضروات والفاكهة"
1753,"fruit juice","מיץ פירות","عصير الفواكه"
1754,"fruit salad","סלט פירות","سلطة فواكه"
1755,"frustrated","מתוסכל","محبط"
1756,"fuel","דלק","وقود"
1757,"full","מלא","ممتلئ"
1758,"full name","שם מלא","الإسم الكامل"
1759,"full-time","משרה מלאה","دوام كامل"
